,Time,GX,Time,GY,Time,GZ
0,Mon Jul  5 14:17:07 2021,0.0,Mon Jul  5 14:17:10 2021,2.7557251908396947,Mon Jul  5 14:17:16 2021,1.4732824427480915
1,Mon Jul  5 14:17:08 2021,-2.2213740458015265,Mon Jul  5 14:17:17 2021,2.6717557251908395,Mon Jul  5 14:17:13 2021,1.4427480916030535
2,Mon Jul  5 14:17:14 2021,-2.312977099236641,Mon Jul  5 14:17:09 2021,2.6412213740458017,Mon Jul  5 14:17:13 2021,1.4198473282442747
3,Mon Jul  5 14:17:12 2021,-2.3282442748091605,Mon Jul  5 14:17:11 2021,2.633587786259542,Mon Jul  5 14:17:12 2021,1.3740458015267176
4,Mon Jul  5 14:17:12 2021,-2.33587786259542,Mon Jul  5 14:17:14 2021,2.618320610687023,Mon Jul  5 14:17:10 2021,1.3740458015267176
