data from new session is written from here:
Fri May  7 15:34:00 2021,-22,168,122
Fri May  7 15:34:00 2021,6,176,130
Fri May  7 15:34:00 2021,-22,182,95
Fri May  7 15:34:00 2021,-26,179,106
Fri May  7 15:34:00 2021,-38,184,104
Fri May  7 15:34:00 2021,-19,162,78
Fri May  7 15:34:00 2021,-29,149,99
Fri May  7 15:34:00 2021,-40,181,86
Fri May  7 15:34:00 2021,-42,156,89
Fri May  7 15:34:00 2021,-26,182,109
Fri May  7 15:34:00 2021,-50,170,118
Fri May  7 15:34:00 2021,-54,174,63
Fri May  7 15:34:00 2021,-82,175,83
Fri May  7 15:34:00 2021,-71,188,79
Fri May  7 15:34:00 2021,-57,183,93
Fri May  7 15:34:00 2021,-77,195,73
Fri May  7 15:34:00 2021,-53,194,100
Fri May  7 15:34:00 2021,-66,184,110
Fri May  7 15:34:00 2021,-83,222,95
Fri May  7 15:34:00 2021,-76,196,96
Fri May  7 15:34:00 2021,-58,205,104
Fri May  7 15:34:00 2021,-40,200,87
Fri May  7 15:34:00 2021,-73,188,90
Fri May  7 15:34:00 2021,-57,201,95
Fri May  7 15:34:00 2021,-55,221,99
Fri May  7 15:34:00 2021,-76,211,78
Fri May  7 15:34:00 2021,-78,216,70
Fri May  7 15:34:00 2021,-101,230,94
Fri May  7 15:34:00 2021,-90,224,79
Fri May  7 15:34:00 2021,-96,226,97
Fri May  7 15:34:00 2021,-112,224,105
Fri May  7 15:34:00 2021,-96,242,111
Fri May  7 15:34:00 2021,-91,240,88
Fri May  7 15:34:00 2021,-82,254,95
Fri May  7 15:34:00 2021,-91,250,91
Fri May  7 15:34:00 2021,-98,264,96
Fri May  7 15:34:00 2021,-104,255,89
Fri May  7 15:34:01 2021,-89,283,79
Fri May  7 15:34:01 2021,-101,264,75
Fri May  7 15:34:01 2021,-109,277,87
Fri May  7 15:34:01 2021,-120,288,81
Fri May  7 15:34:01 2021,-79,295,73
Fri May  7 15:34:01 2021,-88,271,78
Fri May  7 15:34:01 2021,-91,281,86
Fri May  7 15:34:01 2021,-65,299,101
Fri May  7 15:34:01 2021,-75,310,84
Fri May  7 15:34:01 2021,-70,297,73
Fri May  7 15:34:01 2021,-64,320,85
Fri May  7 15:34:01 2021,-75,322,55
Fri May  7 15:34:01 2021,-67,297,55
Fri May  7 15:34:01 2021,-45,308,66
Fri May  7 15:34:01 2021,-57,296,59
Fri May  7 15:34:01 2021,-51,304,60
Fri May  7 15:34:01 2021,-16,300,69
Fri May  7 15:34:01 2021,-18,328,79
Fri May  7 15:34:01 2021,-25,301,55
