data from new session is written from here:
Sun May  2 20:43:26 2021,-102,324,134
Sun May  2 20:43:26 2021,-108,170,258
Sun May  2 20:43:26 2021,-108,170,258
Sun May  2 20:43:26 2021,181,178,178
Sun May  2 20:43:26 2021,46,247,57
Sun May  2 20:43:26 2021,-83,208,79
Sun May  2 20:43:26 2021,-83,208,79
Sun May  2 20:43:26 2021,-52,192,279
Sun May  2 20:43:26 2021,64,146,204
Sun May  2 20:43:26 2021,103,229,65
Sun May  2 20:43:26 2021,103,229,65
Sun May  2 20:43:26 2021,-54,292,82
Sun May  2 20:43:26 2021,-16,154,236
Sun May  2 20:43:26 2021,-16,154,236
Sun May  2 20:43:26 2021,42,103,242
Sun May  2 20:43:26 2021,47,348,91
Sun May  2 20:43:26 2021,-56,348,46
Sun May  2 20:43:26 2021,-56,348,46
Sun May  2 20:43:26 2021,-156,258,182
Sun May  2 20:43:26 2021,69,206,283
Sun May  2 20:43:26 2021,115,107,98
Sun May  2 20:43:26 2021,115,107,98
Sun May  2 20:43:26 2021,-39,353,42
Sun May  2 20:43:26 2021,-108,382,143
Sun May  2 20:43:26 2021,-90,166,261
Sun May  2 20:43:26 2021,-90,166,261
Sun May  2 20:43:26 2021,141,79,167
Sun May  2 20:43:26 2021,36,203,61
Sun May  2 20:43:26 2021,-93,274,92
Sun May  2 20:43:26 2021,-93,274,92
Sun May  2 20:43:26 2021,-73,205,295
Sun May  2 20:43:26 2021,32,162,208
Sun May  2 20:43:26 2021,113,287,95
Sun May  2 20:43:26 2021,113,287,95
Sun May  2 20:43:26 2021,-30,290,46
Sun May  2 20:43:26 2021,-64,229,237
Sun May  2 20:43:26 2021,-64,229,237
Sun May  2 20:43:26 2021,24,81,237
Sun May  2 20:43:26 2021,42,251,72
Sun May  2 20:43:26 2021,10,327,48
Sun May  2 20:43:26 2021,10,327,48
Sun May  2 20:43:26 2021,-145,246,180
Sun May  2 20:43:26 2021,28,186,280
Sun May  2 20:43:26 2021,160,124,99
Sun May  2 20:43:26 2021,160,124,99
Sun May  2 20:43:26 2021,-48,368,39
Sun May  2 20:43:26 2021,-141,317,134
Sun May  2 20:43:26 2021,-74,160,267
Sun May  2 20:43:26 2021,-74,160,267
Sun May  2 20:43:26 2021,173,155,142
Sun May  2 20:43:26 2021,187,209,64
Sun May  2 20:43:26 2021,-98,298,102
Sun May  2 20:43:26 2021,-67,190,292
Sun May  2 20:43:26 2021,-67,190,292
Sun May  2 20:43:26 2021,-4,92,192
Sun May  2 20:43:26 2021,120,350,80
Sun May  2 20:43:26 2021,120,350,80
Sun May  2 20:43:26 2021,-83,312,67
Sun May  2 20:43:26 2021,-121,182,244
Sun May  2 20:43:26 2021,63,92,248
Sun May  2 20:43:26 2021,55,307,84
Sun May  2 20:43:26 2021,55,307,84
Sun May  2 20:43:26 2021,-11,358,41
Sun May  2 20:43:26 2021,-162,283,178
Sun May  2 20:43:26 2021,-6,111,236
Sun May  2 20:43:26 2021,-6,111,236
Sun May  2 20:43:26 2021,131,169,106
Sun May  2 20:43:26 2021,-22,355,51
Sun May  2 20:43:26 2021,-93,300,141
Sun May  2 20:43:26 2021,-93,300,141
Sun May  2 20:43:26 2021,-63,112,261
Sun May  2 20:43:26 2021,33,174,126
Sun May  2 20:43:26 2021,19,191,40
Sun May  2 20:43:26 2021,19,191,40
Sun May  2 20:43:26 2021,-138,219,110
Sun May  2 20:43:26 2021,-95,110,289
Sun May  2 20:43:26 2021,97,168,202
Sun May  2 20:43:26 2021,32,411,78
Sun May  2 20:43:26 2021,32,411,78
Sun May  2 20:43:26 2021,-40,374,75
Sun May  2 20:43:26 2021,-119,158,247
Sun May  2 20:43:26 2021,66,112,227
Sun May  2 20:43:26 2021,66,112,227
Sun May  2 20:43:26 2021,78,165,66
Sun May  2 20:43:26 2021,-65,312,222
Sun May  2 20:43:26 2021,-65,312,222
Sun May  2 20:43:26 2021,23,134,250
Sun May  2 20:43:26 2021,162,235,79
Sun May  2 20:43:26 2021,-3,270,38
Sun May  2 20:43:26 2021,-3,270,38
Sun May  2 20:43:26 2021,-193,221,151
Sun May  2 20:43:26 2021,-55,189,285
Sun May  2 20:43:26 2021,-55,189,285
Sun May  2 20:43:26 2021,142,218,108
Sun May  2 20:43:26 2021,25,334,33
Sun May  2 20:43:26 2021,-84,219,119
Sun May  2 20:43:26 2021,-84,219,119
Sun May  2 20:43:26 2021,-44,40,274
Sun May  2 20:43:26 2021,111,151,178
Sun May  2 20:43:26 2021,-39,292,54
Sun May  2 20:43:26 2021,-39,292,54
Sun May  2 20:43:26 2021,-71,364,85
Sun May  2 20:43:26 2021,-162,178,266
Sun May  2 20:43:26 2021,40,87,234
Sun May  2 20:43:26 2021,40,87,234
Sun May  2 20:43:26 2021,70,215,83
Sun May  2 20:43:26 2021,-124,358,72
Sun May  2 20:43:26 2021,-129,299,239
Sun May  2 20:43:26 2021,-129,299,239
Sun May  2 20:43:26 2021,15,170,227
Sun May  2 20:43:26 2021,26,297,61
Sun May  2 20:43:26 2021,-17,185,31
Sun May  2 20:43:26 2021,-17,185,31
Sun May  2 20:43:27 2021,-211,174,156
Sun May  2 20:43:27 2021,-45,129,261
Sun May  2 20:43:27 2021,77,177,88
Sun May  2 20:43:27 2021,77,177,88
Sun May  2 20:43:27 2021,22,427,48
Sun May  2 20:43:27 2021,-102,240,130
Sun May  2 20:43:27 2021,-83,70,252
Sun May  2 20:43:27 2021,129,97,168
Sun May  2 20:43:27 2021,129,97,168
Sun May  2 20:43:27 2021,91,232,41
Sun May  2 20:43:27 2021,-159,380,100
Sun May  2 20:43:27 2021,-73,211,299
Sun May  2 20:43:27 2021,101,80,223
Sun May  2 20:43:27 2021,101,80,223
Sun May  2 20:43:27 2021,64,311,104
Sun May  2 20:43:27 2021,-118,215,58
Sun May  2 20:43:27 2021,-196,214,235
Sun May  2 20:43:27 2021,-196,214,235
Sun May  2 20:43:27 2021,45,133,237
Sun May  2 20:43:27 2021,33,238,71
Sun May  2 20:43:27 2021,-77,320,32
Sun May  2 20:43:27 2021,-77,320,32
Sun May  2 20:43:27 2021,-176,169,168
Sun May  2 20:43:27 2021,68,91,253
Sun May  2 20:43:27 2021,104,237,87
Sun May  2 20:43:27 2021,104,237,87
Sun May  2 20:43:27 2021,49,306,39
Sun May  2 20:43:27 2021,-75,315,148
Sun May  2 20:43:27 2021,-62,55,254
Sun May  2 20:43:27 2021,111,130,121
Sun May  2 20:43:27 2021,111,130,121
Sun May  2 20:43:27 2021,85,268,63
Sun May  2 20:43:27 2021,-134,324,118
Sun May  2 20:43:27 2021,-134,324,118
Sun May  2 20:43:27 2021,-83,284,317
Sun May  2 20:43:27 2021,35,235,234
Sun May  2 20:43:27 2021,109,280,54
Sun May  2 20:43:27 2021,109,280,54
Sun May  2 20:43:27 2021,-67,200,50
Sun May  2 20:43:27 2021,-189,124,255
Sun May  2 20:43:27 2021,21,170,240
Sun May  2 20:43:27 2021,34,255,108
Sun May  2 20:43:27 2021,34,255,108
Sun May  2 20:43:27 2021,-142,370,37
Sun May  2 20:43:27 2021,-116,227,187
Sun May  2 20:43:27 2021,9,36,243
Sun May  2 20:43:27 2021,9,36,243
Sun May  2 20:43:27 2021,77,225,107
Sun May  2 20:43:27 2021,48,242,1
Sun May  2 20:43:27 2021,-185,347,142
Sun May  2 20:43:27 2021,-185,347,142
Sun May  2 20:43:27 2021,-10,211,292
Sun May  2 20:43:27 2021,194,187,111
Sun May  2 20:43:27 2021,194,187,111
Sun May  2 20:43:27 2021,44,251,28
Sun May  2 20:43:27 2021,-40,320,108
Sun May  2 20:43:27 2021,-122,224,290
Sun May  2 20:43:27 2021,-122,224,290
Sun May  2 20:43:27 2021,63,253,195
Sun May  2 20:43:27 2021,177,295,74
Sun May  2 20:43:27 2021,-140,211,54
Sun May  2 20:43:27 2021,-182,146,258
Sun May  2 20:43:27 2021,-182,146,258
Sun May  2 20:43:27 2021,-15,178,225
Sun May  2 20:43:27 2021,-32,288,103
Sun May  2 20:43:27 2021,-119,403,43
Sun May  2 20:43:27 2021,-168,188,178
Sun May  2 20:43:27 2021,-168,188,178
Sun May  2 20:43:27 2021,-9,36,240
Sun May  2 20:43:27 2021,62,195,111
Sun May  2 20:43:27 2021,-13,320,26
Sun May  2 20:43:27 2021,-190,335,136
Sun May  2 20:43:27 2021,-190,335,136
